"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"LLS"	"Garpique alligator"
"JTP"	"Atractosteus tropicus"
"SUX"	"Sundasalanx malleti"
"HER"	"Hareng de l'Atlantique"
"HEP"	"Hareng du Pacifique"
"CBK"	"Poisson-papier dentu"
"AGC"	"Sardinelle coulat"
"AGL"	"Sardinelle daniva"
"AGS"	"Sardinelle tachetée"
"CUI"	"Alose de la mer Caspienne"
"SHC"	"Alose de la mer Noire"
"SHA"	"Alose savoureuse"
"ASD"	"Alose vraie(=Grande alose)"
"TSD"	"Alose feinte"
"ALE"	"Gaspareau"
"BBH"	"Alose d'été du Canada"
"SHH"	"Alose américaine"
"CUK"	"Alosa brashnikovi"
"CUA"	"Alose de l'Alabama"
"CUE"	"Alosa kessleri"
"SHE"	"Alosa maeotica"
"CUV"	"Alosa saposhnikovi"
"CUH"	"Alosa sphaerocephala"
"SDY"	"Sardinella brachysoma"
"SAG"	"Sardinelle dorée"
"IOS"	"Sardinelle indienne"
"SDM"	"Sardinelle queue noire"
"FRS"	"Tunsoy"
"SDI"	"Sardinelle miyako"
"SAA"	"Allache"
"SDN"	"Sardinella neglecta"
"SDJ"	"Sardinella jussieui"
"SAE"	"Grande allache"
"GOR"	"Gobiobotia brevibarba"
"GYW"	"Gymnocypris biswasi"
"HMK"	"Hemigrammocapoeta kemali"
"HMI"	"Hemigrammocypris lini"
"HMF"	"Hemitremia flammea"
"HNC"	"Henicorhynchus caudimaculatus"
"HNZ"	"Henicorhynchus siamensis"
"HRA"	"Horadandia atukorali"
"PUK"	"Raiamas ansorgii"
"HYC"	"Hypselobarbus curmuca"
"PUJ"	"Hypselobarbus jerdoni"
"HYL"	"Hypsibarbus lagleri"
"IBP"	"Iberocypris palaciosi"
"INA"	"Inlecypris auropurpureus"
"IRT"	"Iranocypris typhlops"
"KAL"	"Kalimantania lawak"
"LDG"	"Ladigesocypris ghigii"
"LDT"	"Ladislavia taczanowskii"
"LWG"	"Lagowskiella czekanowskii"
"LPT"	"Lepidopygopsis typus"
"LPG"	"Leptocypris guineensis"
"LPN"	"Leptocypris niloticus"
"LPK"	"Leucalburnus kosswigi"
"LUD"	"Able de Heckel"
"LCO"	"Lobocheilos bo"
"LCI"	"Longiculter siahi"
"LCK"	"Luciosoma bleekeri"
"LYR"	"Lythrurus roseipinnis"
"LYS"	"Lythrurus snelsoni"
"MCV"	"Macrhybopsis aestivalis"
"MCO"	"Macrochirichthys macrochirus"
"MGM"	"Margariscus margarita"
"MDF"	"Meda fulgida"
"MKE"	"Mekongina erythrospila"
"MSB"	"Mesobola brevianalis"
"MYK"	"Microphysogobio koreensis"
"MCY"	"Microrasbora erythromicron"
"MOC"	"Moapa coriacea"
"MHO"	"Mylopharodon conocephalus"
"MSG"	"Mystacoleucus argenteus"
"MZP"	"Mystacoleucus padangensis"
"MJZ"	"Mystacoleucus marginatus"
"NEL"	"Nematabramis alestes"
"NEO"	"Neobola moeruensis"
"NEI"	"Neolissochilus blanci"
"OCE"	"Ochetobius elongatus"
"ONL"	"Onychostoma alticorpus"
"OPL"	"Opsaridium microlepis"
"OPQ"	"Opsopoeodus emiliae"
"OHC"	"Oreichthys cosuatis"
"OUH"	"Oreoleuciscus handlirschi"
"OUP"	"Ospatulus palaemophagus"
"OBL"	"Osteobrama belangeri"
"OBC"	"Osteobrama cotio"
"OXA"	"Oxygaster anomalura"
"PHM"	"Pachychilon macedonicum"
"PHC"	"Parachela cyanea"
"PZI"	"Parachela oxygastroides"
"PHQ"	"Paracrossochilus acerus"
"PUB"	"Paralaubuca barroni"
"PYT"	"Parapsilorhynchus tentaculatus"
"PAJ"	"Pararasbora moltrechti"
"PZV"	"Parazacco vuquangensis"
"PUL"	"Parluciosoma labiosa"
"PYB"	"Pectenocypris balaena"
"PXA"	"Phoxinellus adspersus"
"PXC"	"Phoxinus cumberlandensis"
"PXE"	"Phoxinus eos"
"PXY"	"Phoxinus erythrogaster"
"PXN"	"Phoxinus neogaeus"
"PXP"	"Vairon"
"NA1"	"Nason à éperons noirs"
"PYI"	"Phreatichthys andruzzii"
"PLI"	"Plagiognathops microlepis"
"PLC"	"Platygobio gracilis"
"PLX"	"Platypharodon extremus"
"PTD"	"Poropuntius deauratus"
"PCE"	"Procypris merus"
"PBB"	"Prolabeo batesi"
"PBM"	"Prolabeops melanhypoptera"
"PDS"	"Pseudobarbus asper"
"PDJ"	"Pseudolaubuca jouyi"
"HYF"	"Haliichthys taeniophorus"
"HRU"	"Heraldia nocturna"
"HCY"	"Hippichthys cyanospilus"
"HPY"	"Hippocampus fuscus"
"HSI"	"Histiogamphelus cristatus"
"HYH"	"Hypselognathus horridus"
"IYC"	"Ichthyocampus carce"
"KUU"	"Kaupus costatus"
"KUS"	"Kimblaeus bassensis"
"LTF"	"Leptoichthys fistularius"
"LNB"	"Leptonotus blainvilleanus"
"LSW"	"Lissocampus bannwarthi"
"MBY"	"Maroubra yasudai"
"MID"	"Micrognathus andersonii"
"MIG"	"Syngnathe virgule"
"MIY"	"Minyichthys myersi"
"MIO"	"Mitotichthys mollisoni"
"NAL"	"Nannocampus elegans"
"NIR"	"Notiocampus ruber"
"PXU"	"Penetopteryx nanus"
"PXL"	"Phoxocampus belcheri"
"PFK"	"Pseudophallus starksii"
"PGQ"	"Pugnaso curtirostris"
"SKU"	"Siokunichthys bentuviai"
"STK"	"Stipecampus cristatus"
"TYF"	"Syngnathe courbé"
"URN"	"Urocampus carinirostris"
"VCM"	"Vanacampus margaritifer"
"LAG"	"Opah"
"LAI"	"Poisson des dieux austral"
"VMM"	"Metavelifer multiradiatus"
"VVH"	"Velifer hypselopterus"
"LEK"	"Eumecichthys fiski"
"LLL"	"Poisson-ruban licorne"
"LOP"	"Lophotus capellei"
"DSM"	"Desmodema polystictum"
"TRQ"	"Poisson ruban"
"TPA"	"Trachyptère atlantique"
"TJZ"	"Trachipterus jacksonensis"
"ZUE"	"Zu elongatus"
"ZUC"	"Trachyptère ventru"
"REL"	"Roi des harengs"
"AGP"	"Agrostichthys parkeri"
"RGR"	"Gymnetrus russelii"
"LSC"	"Stylephorus chordatus"
"ATI"	"Ateleopus indicus"
"AGA"	"Guentherus altivela"
"AID"	"Ijimaia dofleini"
"MEF"	"Eutaeniophorus festivus"
"LME"	"Mirapinna esau"
"LMB"	"Parataeniophorus brevis"
"LMX"	"Ataxolepis apus"
"LMC"	"Cetomimoides parri"
"LRE"	"Radiicephalus elongatus"
"UCT"	"Cualac tessellatus"
"UBC"	"Cubanichthys cubensis"
"CVZ"	"Cyprinodon alvarezi"
"YCM"	"Cyprinodon macularius"
"YCU"	"Cyprinodon atrorus"
"YCF"	"Cyprinodon latifasciatus"
"FYC"	"Floridichthys carpio"
"JDF"	"Jordanella floridae"
"KWA"	"Kosswigichthys asquamatus"
"MPP"	"Megupsilon aporus"
"OUG"	"Orestias chungarensis"
"AFS"	"Aphanius fasciatus"
"AFD"	"Aphanius dispar"
"AFJ"	"Aphanius d'Espagne"
"ADU"	"Allodontichthys hubbsi"
"ATZ"	"Allodontichthys tamazulae"
"ADE"	"Allotoca dugesii"
"GMS"	"Ameca splendens"
"GAW"	"Ataeniobius toweri"
"GCY"	"Crenichthys baileyi"
"GEE"	"Empetrichthys merriami"
"GGT"	"Girardinichthys multiradiatus"
"GOT"	"Goodea atripinnis"
"KFL"	"Skiffia lermae"
"GCE"	"Chapalichthys encaustus"
"GCP"	"Chapalichthys pardalis"
"GCU"	"Characodon audax"
"GCT"	"Characodon lateralis"
"SBH"	"Bar d'amérique, hybride"
"BSE"	"Bars nca"
"BIG"	"Beauclaires nca"
"SYS"	"Macondes nca"
"STP"	"Sandres nca"
"ILX"	"Sillago spp"
"LVX"	"Alepes spp"
"JAX"	"Chinchards noirs nca"
"SDX"	"Comètes nca"
"TRE"	"Chinchards, carangues nca"
"POX"	"Pompaneaux nca"
"AMX"	"Sérioles nca"
"NGX"	"Carangoides spp"
"QUE"	"Sauteurs"
"BUZ"	"Sapaters nca"
"BRA"	"Brama spp"
"SNA"	"Vivaneaux nca"
"LWX"	"Colas nca"
"NQX"	"Pentapodus spp"
"THB"	"Cohanas nca"
"MOB"	"Mamilas"
"GZX"	"Gazza spp"
"POY"	"Sapsap"
"UTX"	"Secutor spp"
"HWX"	"Haemulon spp"
"PBX"	"Plectorhinchus spp"
"BGX"	"Pomadasys spp"
"DRU"	"Sciaenas nca"
"WKX"	"Acoupas nca"
"CRX"	"Tambours nca"
"KIX"	"Bourrugues nca"
"UBS"	"Ombrines nca"
"JOX"	"Johnius spp"
"CKW"	"Otolithes nca"
"NHX"	"Pennahia spp"
"LBR"	"Empereurs, Bossus"
"LZX"	"Lethrinus spp"
"PAX"	"Pageots nca"
"SRG"	"Sars, sparaillons nca"
"PRG"	"Daubenets"
"DEX"	"Dentés nca"
"SBP"	"Dorades nca"
"RSX"	"Spares australs nca"
"STW"	"Marbrés nca"
"CPP"	"Hotentots nca"
"PLY"	"Dentés polystéganes nca"
"EVY"	"Evynnis spp"
"PIC"	"Mendoles, picarels nca"
"MUX"	"Rougets nca"
"RPX"	"Parupeneus spp"
"GOX"	"Rougets-souris"
"REM"	"Remora spp"
"MOJ"	"Blanches nca"
"DUX"	"Diapterus spp"
"EDX"	"Eucinostomus spp"
"KYP"	"Calicagères nca"
"DRZ"	"Forgerons nca"
"ESQ"	"Enoplosus spp"
"CWN"	"Caristius spp"
"EDW"	"Têtes casquées pélagiques nca"
"OJX"	"Oplegnathus spp"
"TLP"	"Tilapias nca"
"CHX"	"Cichlasoma nca"
"AST"	"Astronotus spp"
"CIM"	"Haplochromis spp"
"BDY"	"Bodianus spp"
"TWX"	"Thalassoma spp"
"USX"	"Scarus spp"
"MOW"	"Nemadactylus spp"
"QTX"	"Polynemus spp"
"POG"	"Pogonophryne spp"
"ART"	"Artedidraco spp"
"TOT"	"Légines antarctiques nca"
"TRT"	"Trematomus nca"
"PGT"	"Pagothenia nca"
"PWH"	"Parachaenichthys spp"
"YDB"	"Cryodraco spp"
"PZK"	"Pagetopsis spp"
"CDL"	"Poissons-cardinaux nca"
"CAT"	"Loups nca"
"ELZ"	"Loquettes"
"LZY"	"Lycenchelys spp"
"LXY"	"Lycodapus spp"
"MEL"	"Melanostigma spp"
"OHZ"	"Ophthalmolycus spp"
"PWR"	"Pachycara spp"
"SAN"	"Lançons nca"
"WEX"	"Vives nca"
"URA"	"Uranoscopes"
"GOB"	"Gobies de l'atlantique nca"
"BAT"	"Poules d'eau"
"SCT"	"Pavillons"
"SPI"	"Cordonniers"
"BZX"	"Bonites nca"
"MAZ"	"Maquereaux scomber nca"
"RAX"	"Maquereaux indo-pacifique nca"
"KGX"	"Thazards nca"
"SDB"	"Sardinelle blanche"
"JSS"	"Sardinelle japonaise"
"SAM"	"Sardinelle de Bali"
"BSR"	"Sardinelle de Brésil"
"FJS"	"Sardinella fijiense"
"CHP"	"Pilchard sudaméricain"
"CKT"	"Caspialosa curensis"
"SIA"	"Stolothrissa tanganicae"
"SHG"	"Alose noyer"
"CDA"	"Dorosoma petenense"
"RIA"	"Rhinosardinia amazonica"
"OXL"	"Odaxothrissa losera"
"PLO"	"Spratelle de Guinée"
"CHG"	"Alose chaconde"
"MHS"	"Menhaden du Brésil"
"MHP"	"Menhaden d'Argentine"
"MHA"	"Menhaden tyran"
"MHG"	"Menhaden écailleux"
"MHT"	"Menhaden jaune"
"CUO"	"Clupeoides borneensis"
"CLK"	"Corica soborna"
"RAS"	"Sardine arc-en-ciel"
"RAL"	"Sardine arc-en-ciel gracile"
"BOA"	"Ethmalose d'Afrique"
"RRH"	"Shadine ronde"
"WRR"	"Shadine de Angola"
"CGI"	"Gonialosa manmina"
"CGD"	"Gonialosa modesta"
"HCC"	"Harengule écailleux"
"HCT"	"Harengule du Pacifique"
"HCG"	"Harengule jagane"
"HIX"	"Alose palli"
"CJL"	"Shadine pisquette"
"CJS"	"Jenkinsia stolifera"
"HIL"	"Alose hilsa"
"THT"	"Tenualosa thibaudeaui"
"REE"	"Tenualosa reevesii"
"TOL"	"Alose toli"
"TWN"	"Tenualosa macrura"
"CNS"	"Chardin gros nez"
"NCO"	"Nematalosa come"
"CNE"	"Nematalosa erebi"
"CNJ"	"Nematalosa japonica"
"THP"	"Chardin du Pacifique"
"THA"	"Chardin fil"
"OPU"	"Chardin crin"
"OPM"	"Chardin pinchague"
"SRH"	"Hareng gracile"
"SPD"	"Hareng rond"
"CUY"	"Cynothrissa ansorgii"
"CUM"	"Cynothrissa mento"
"CGH"	"Gudusia chapra"
"DAS"	"Alose à museau court"
"CLA"	"Clupeonelle"
"CLE"	"Clupeonella engrauliformis"
"CLG"	"Clupeonella grimmi"
"DOD"	"Alose tachetée"
"LCP"	"Harengule piquitinge atlantiq."
"LCS"	"Harengule piquitinge Pacifique"
"PIL"	"Sardine commune"
"CGR"	"Gilchristella aestuarius"
"SPR"	"Sprat"
"FAS"	"Sprat des îles Falkland"
"MES"	"Menhaden du Pacifique"
"HES"	"Hareng à bande bleue"
"HKD"	"Herklotsichthys dispilonotus"
"HKG"	"Herklotsichthys gotoi"
"HKL"	"Herklotsichthys lossei"
"EST"	"Alose blanche"
"LTM"	"Limnothrissa miodon"
"CKI"	"Hareng araucian"
"PLP"	"Platanichthys platana"
"RTA"	"Sardinelle de la Plata"
"PCD"	"Potamalosa richmondia"
"SRB"	"Spratellomorpha bianalis"
"CDM"	"Dayella malabarica"
"THN"	"Thrattidion noctivagus"
"CDK"	"Laeviscutella dekimpei"
"SRL"	"Sierrathrissa leonensis"
"MCX"	"Microthrissa royauxi"
"PDH"	"Pseudoperilampus hondae"
"PDY"	"Pseudophoxinus stymphalicus"
"PDN"	"Pseudopungtungia nigra"
"PTJ"	"Ptychidio jordani"
"PGH"	"Pungtungia herzi"
"PUQ"	"Puntioplites bulu"
"WPU"	"Puntioplites waandersi"
"WPP"	"Puntioplites proctozystron"
"RSF"	"Rasborichthys helfrichii"
"RSL"	"Rasborinus lineatus"
"REH"	"Rectoris posehensis"
"RET"	"Relictus solitarius"
"RIL"	"Richardsonius balteatus"
"ROI"	"Rohteichthys microlepis"
"ROU"	"Romanogobio tenuicorpus"
"SLB"	"Salmostoma bacaila"
"SNV"	"Sanagia velifera"
"SUB"	"Saurogobio dabryi"
"SWE"	"Sawbwa resplendens"
"SGB"	"Scaphognathops bandanensis"
"SRT"	"Schismatorhynchos heterorhynchos"
"SZB"	"Schizocypris brucei"
"SZU"	"Schizothorax curvifrons"
"SZE"	"Schizothorax esocinus"
"SZR"	"Schizothorax richardsonii"
"SLG"	"Securicula gora"
"SMN"	"Semilabeo notabilis"
"SKG"	"Sikukia gudgeri"
"SNM"	"Sinibrama macrops"
"SND"	"Sinilabeo decorus"
"SNT"	"Sinocyclocheilus anatirostris"
"SBD"	"Spinibarbus denticulatus"
"SIT"	"Spratellicypris palata"
"SQB"	"Squalidus biwae"
"SDG"	"Stypodon signifer"
"SMB"	"Systomus brevis"
"TYO"	"Thryssocypris ornithostoma"
"TPH"	"Tropidophoxinellus hellenicus"
"TPN"	"Typhlobarbus nudiventris"
"XEL"	"Xenobarbus loveridgei"
"XEA"	"Xenocypris argentea"
"ABK"	"Brème bordelière"
"PTG"	"Barbeau argenté"
"BBA"	"Barbonymus altus"
"BFS"	"Barbonymus schwanenfeldii"
"GXM"	"Gyrinocheilus aymonieri"
"HPD"	"Acanthopsoides delphax"
"TPC"	"Acantopsis choirorhynchos"
"BOH"	"Syncrossus hymenophysa"
"BOD"	"Botia dario"
"BIA"	"Cobitis aurata"
"BIW"	"Cobitis biwae"
"BIT"	"Loche de rivière"
"BIO"	"Cobitis granoei"
"BIM"	"Cobitis maroccana"
"LEG"	"Lepidocephalichthys guntea"
"LEI"	"Lepidocephalichthys thermalis"
"SOG"	"Somileptes gongota"
"SAK"	"Sabanejewia balcanica"
"PAD"	"Paramisgurnus dabryanus"
"NAG"	"Pangio agma"
"NWD"	"Niwaella delicata"
"LEU"	"Leptobotia curta"
"NUM"	"Neoeucirrhichthys maydelli"
"LED"	"Lepidocephalus annandalei"
"KUR"	"Loche asiatique"
"MWT"	"Loche d'étang"
"IKC"	"Iksookimia choii"
"ENM"	"Enobarbichthys maculatus"
"BMW"	"Chromobotia macracanthus"
"PSI"	"Psilorhynchus sucatio"
"ABE"	"Aborichthys elongatus"
"MLP"	"Metaloricaria paucidens"
"MNC"	"Monistiancistrus carachama"
"NPF"	"Neoplecostomus franciscoensis"
"LCC"	"Loricaria cataphracta"
"OCA"	"Otocinclus affinis"
"PHD"	"Pareiorhina rudolphi"
"PTK"	"Parotocinclus britskii"
"PGW"	"Pogonopoma wertheimeri"
"PGY"	"Pogonopomoides parahybae"
"PDF"	"Pseudacanthicus fordii"
"HUT"	"Hubbsina turneri"
"IYF"	"Ilyodon furcidens"
"ZOQ"	"Zoogoneticus quitzeoensis"
"XTE"	"Xenotoca eiseni"
"XFC"	"Xenoophorus captivus"
"XTR"	"Xenotaenia resolanae"
"NFC"	"Neoophorus catarinae"
"AFR"	"Alloophorus robustus"
"AAW"	"Quatre-yeux à grandes écailles"
"JYL"	"Jenynsia lineata"
"XYD"	"Oxyzygonectes dovii"
"AFU"	"Alfaro cultratus"
"GSF"	"Gambusie"
"GSR"	"Gambusia echeagarayi"
"AFE"	"Aplocheilichthys fuelleborni"
"BFJ"	"Brachyrhaphis cascajalensis"
"UBK"	"Carlhubbsia kidderi"
"CXH"	"Congopanchax brichardi"
"CXK"	"Cynopanchax bukobanus"
"GIL"	"Girardinus creolus"
"HXS"	"Hylopanchax stictopleuron"
"PEK"	"Poeciliopsis hnilickai"
"HXE"	"Hypsopanchax catenatus"
"LCU"	"Laciris pelagicus"
"XFM"	"Xiphophorus montezumae"
"XUV"	"Xiphophorus alvarezi"
"LYN"	"Lamprichthys tanganicanus"
"LMY"	"Limia caymanensis"
"NHC"	"Neoheterandria cana"
"PFU"	"Pamphorichthys araguaiensis"
"PXS"	"Pantanodon podoxys"
"FCJ"	"Phalloptychus januarius"
"PFD"	"Plataplochilus cabindae"
"PRQ"	"Priapella bonita"
"PZA"	"Priapichthys annectens"
"PRZ"	"Procatopus aberrans"
"PRW"	"Pseudopoecilia austrocolumbiana"
"QTA"	"Quintana atrizona"
"SGW"	"Scolichthys greenwayi"
"TUI"	"Tomeurus gracilis"
"PFX"	"Phallichthys fairweatheri"
"XXC"	"Xenodexia ctenolepis"
"XUU"	"Xenophallus umbratilis"
"FCU"	"Phalloceros caudimaculatus"
"CNQ"	"Cnesterodon carnegiei"
"HTA"	"Heterandria attenuata"
"POZ"	"Poecilia amazonica"
"PFL"	"Guppy"
"BXB"	"Belonesox belizanus"
"AFM"	"Adamas formosus"
"AFB"	"Aphyoplatys duboisi"
"AFH"	"Aphyosemion ahli"
"ADI"	"Aplocheilus dayi"
"AXD"	"Aplocheilus panchax"
"ADP"	"Austrofundulus dolichopterus"
"CBY"	"Cynolebias bellottii"
"DCY"	"Diapteron cyanostictum"
"EYA"	"Epiplatys azureus"
"FOF"	"Foerschichthys flavipinnis"
"OGP"	"Savon barbu"
"NFS"	"Niphon spinosus"
"TPR"	"Trachypoma macracanthus"
"AXN"	"Paralabrax nebulifer"
"PXF"	"Paralabrax maculatofasciatus"
"PXK"	"Paralabrax clathratus"
"PXM"	"Paralabrax albomaculatus"
"BAP"	"Serran cabrilla"
"EDG"	"Pseudogramma gregoryi"
"NCA"	"Plectranthias altipinnatus"
"GCA"	"Mérou bord rouge"
"VRL"	"Croissant queue jaune"
"VRA"	"Croissant queue blanche"
"GLH"	"Glaucosoma hebraicum"
"GLU"	"Glaucosoma scapulare"
"MNF"	"Amniataba affinis"
"HNW"	"Hannia greenwayi"
"HFG"	"Hephaestus fuliginosus"
"LGM"	"Lagusia micracanthus"
"LTH"	"Leiopotherapon aheneus"
"MER"	"Mesopristes argenteus"
"PLV"	"Pelsartia humeralis"
"PGX"	"Pingalla lorentzi"
"FRZ"	"Auxide et bonitou"
"EHZ"	"Euthynnus spp"
"TUS"	"Thons thunnus nca"
"RXX"	"Rexea spp"
"BEH"	"Benthodesmus spp"
"TCW"	"Poissons-sabres nca"
"BOX"	"Aphanopus spp"
"XPO"	"Ailerons nca"
"BTG"	"Stromatés du Golfe nca"
"DRK"	"Ariommes nca"
"CUP"	"Cubiceps spp"
"NMW"	"Nomeus spp"
"BSP"	"Sériolelles nca"
"GOM"	"Gouramis nca"
"BAR"	"Bécunes nca"
"FSN"	"Poissons tête de serpent nca"
"RED"	"Sébastes de l'atlantique nca"
"SCS"	"Rascasses nca"
"ROK"	"Sébastes chèvres nca"
"GUY"	"Grondins nca"
"GUI"	"Grondins de l'indo-pacifique"
"SRA"	"Grondins"
"HBX"	"Hoplichthys spp"
"SCU"	"Chaboisseaux"
"CWS"	"Careproctus spp"
"PVZ"	"Paraliparis spp"
"FSA"	"Rhombosoles nca"
"SOO"	"Soles"
"SOA"	"Soles de l'atl. sud-est nca"
"THS"	"Soles-perdix nca"
"YOX"	"Sole-langues nca"
"LEZ"	"Cardines nca"
"BAX"	"Cardeaux nca"
"UKX"	"Pseudorhombus spp"
"LFX"	"Lagocephalus spp"
"PUA"	"Compères de l'atlantique nca"
"MOP"	"Mola spp"
"ALT"	"Aluterus spp"
"FLF"	"Bourses nca"
"TAW"	"Thamnaconus spp"
"TDF"	"Crapauds nca"
"MNZ"	"Baudroies nca"
"AJM"	"Crevettes de salines nca"
"GOO"	"Balanes nca"
"KRX"	"Krill antarctique nca"
"PEN"	"Crevettes penaeus nca"
"MET"	"Crevettes metapenaeus nca"
"NPP"	"Crevettes parapenaeopsis nca"
"XFS"	"Crevettes xiphopenaeus nca"
"YEU"	"Crevettes trachypenaeus nca"
"PAN"	"Crevettes pandalus nca"
"NDP"	"Crevettes pandalopsis nca"
"CZX"	"Saltarelles nca"
"PPF"	"Bouquets d'eau douce nca"
"CNZ"	"Crevettes crangon nca"
"CVL"	"Crevettes sculptées nca"
"KNI"	"Salicoques-couteau nca"
"SLV"	"Langoustes tropicales nca"
"CRW"	"Langoustes palinurus nca"
"OBQ"	"Écrevisses Procambarus nca"
"MWF"	"Langoustine Metanephrops nca"
"LBS"	"Homards nca"
"CZP"	"Machottes nca"
"KCS"	"Crabes royaux"
"KCZ"	"Crabes royaux nca"
"PAI"	"Paralomis spp"
"YBX"	"Crabes charybdis nca"
"CRS"	"Étrilles Portunus nca"
"CAL"	"Crabes Callinectes nca"
"MJW"	"Hyas spp"
"PCR"	"Crabes des neiges du pac. nca"
"GER"	"Géryons Chaceon nca"
"KHX"	"Chitons nca"
"PER"	"Bigorneaux nca"
"MUE"	"Rochers"
"RPN"	"Escargots de mer"
"ABX"	"Ormeaux nca"
"TSH"	"Coquilles de troques nca"
"GSH"	"Coquilles de turbos nca"
"CON"	"Strombes nca"
"WHX"	"Busycons"
"LPZ"	"Patelles nca"
"CXY"	"Volutes nca"
"ARK"	"Arches nca"
"BLS"	"Arches anadara nca"
"OSH"	"Coquilles d'huîtres perl. nca"
"OYX"	"Huîtres plates nca"
"OYC"	"Huîtres creuses nca"
"MYV"	"Moules Mytilus nca"
"MOD"	"Modioles nca"
"VEN"	"Venerupis spp"
"HCX"	"Meretrix spp"
"TPS"	"Clovisses nca"
"..."	"Ageneiosidae"
"..."	"Balaenidae"
"PTU"	"Potamothrissa acutirostris"
"PCM"	"Poecilothrissa moeruensis"
"CNR"	"Nannothrissa parva"
"CUR"	"Clupeichthys aesarnensis"
"CVU"	"Clupeichthys goniognathus"
"NOV"	"Notolychnus valdiviae"
"PXI"	"Parvilux ingens"
"PYV"	"Protomyctophum andriashevi"
"PRM"	"Protomyctophum bolini"
"PRY"	"Protomyctophum choriodon"
"PRE"	"Protomyctophum tenisoni"
"SIM"	"Scopelopsis multipunctatus"
"SMP"	"Symbolophorus barnardi"
"SVW"	"Lanterne à grandes écailles"
"TAY"	"Taaningichthys bathyphilus"
"TAE"	"Tarletonbeania crenularis"
"TMX"	"Triphoturus mexicanus"
"PHX"	"Saccopharynx ampullaceus"
"SEX"	"Eurypharynx pelecanoides"
"SMG"	"Monognathus ahlstromi"
"CMY"	"Cyema atrum"
"CNY"	"Neocyema erythrosoma"
"AXE"	"Ammocryptocharax elegans"
"ACI"	"Acnodon normani"
"AUM"	"Aphyocharacidium melandetum"
"HSX"	"Hyphessobrycon axelrodi"
"HSH"	"Hyphessobrycon herbertaxelrodi"
"AXF"	"Astyanax fasciatus"
"AXI"	"Axelrodia riesei"
"BOO"	"Brycon atrocaudatus"
"BNC"	"Brycon cephalus"
"BND"	"Brycon devillei"
"BNY"	"Brycon erythropterum"
"BNL"	"Brycon falcatus"
"BNU"	"Brycon lundii"
"BNM"	"Brycon melanopterus"
"BNV"	"Brycon guatemalensis"
"BNN"	"Brycon nattereri"
"BNO"	"Brycon orbignyanus"
"BNP"	"Brycon pesu"
"..."	"Inachidae"
"BCM"	"Brycon moorei"
"BOK"	"Boehlkea fredcochui"
"HGR"	"Hemigrammus rodwayi"
"HGU"	"Hemigrammus unilineatus"
"HGC"	"Hemigrammus caudovittatus"
"MSU"	"Myleus pacu"
"MLH"	"Mylossoma acanthogaster"
"MLU"	"Mylossoma aureum"
"MLD"	"Mylossoma duriventre"
"SXU"	"Salminus brasiliensis"
"BMB"	"Bryconamericus beta"
"ACF"	"Acestrorhynchus falcatus"
"PYE"	"Pygocentrus nattereri"
"PYY"	"Pygocentrus piraya"
"SRD"	"Serrasalmus brandti"
"SRU"	"Serrasalmus elongatus"
"SRM"	"Serrasalmus rhombeus"
"SSS"	"Serrasalmus spilopleura"
"CMT"	"Cynopotamus argenteus"
"TYM"	"Tyttocharax madeirae"
"AXY"	"Aphyocharax erythrurus"
"CSM"	"Colossoma macropomum"
"PYU"	"Pygopristis denticulata"
"BNA"	"Bryconops affinis"
"CXA"	"Carlastyanax aurocaudatus"
"PNN"	"Catoprion mento"
"CEY"	"Chalceus erythrurus"
"CDF"	"Characidium fasciatum"
"CXC"	"Charax condei"
"EXX"	"Exodon paradoxus"
"CDU"	"Cheirodon pisciculus"
"CGB"	"Creagrutus beni"
"CMI"	"Corynopoma riisei"
"GYT"	"Gymnocorymbus ternetzi"
"CSD"	"Piaractus brachypomus"
"CSO"	"Piaractus mesopotamicus"
"CBU"	"Ctenobrycon spilurus"
"CNL"	"Crenuchus spilurus"
"DIF"	"Diapoma speculiferum"
"EXG"	"Elachocharax geryi"
"GIU"	"Gilbertolus alatus"
"GXS"	"Gnathocharax steindachneri"
"PAQ"	"Pseudancistrus barbatus"
"PNZ"	"Pseudorinelepis agassizii"
"PYG"	"Pterygoplichthys anisitsi"
"RIP"	"Rhinelepis aspera"
"RIF"	"Rineloricaria fallax"
"SUP"	"Spatuloricaria phelpsi"
"SUV"	"Sturisoma festivum"
"UPV"	"Upsilodus victori"
"HSL"	"Hypostomus plecostomus"
"HSF"	"Hypostomus affinis"
"PQN"	"Panaque nigrolineatus"
"CTV"	"Chaetostoma sovichthys"
"CNO"	"Cranoglanis bouderius"
"HPT"	"Helicophagus typus"
"PNG"	"Pangasius gigas"
"PGP"	"Pangasius pangasius"
"PGS"	"Silure requin"
"PGJ"	"Pangasius larnaudii"
"PGK"	"Pangasius micronemus"
"PNW"	"Pangasius sanitwongsei"
"PQZ"	"Pangasius djambal"
"HTF"	"Heteropneustes fossilis"
"AHI"	"Acanthocleithron chapini"
"AHB"	"Atopochilus chabanaudi"
"GLB"	"Chiloglanis batesii"
"EUS"	"Euchilichthys astatodon"
"MYI"	"Microsynodontis batesii"
"MKP"	"Mochokiella paynei"
"MKB"	"Mochokus brevis"
"YDA"	"Synodontis alberti"
"YDN"	"Synodontis angelicus"
"YDC"	"Synodontis contractus"
"YDD"	"Synodontis decorus"
